"iteration","tmat","fmat","dlm","LH_2022_class1","LH_2022_class2","LH_2022_class3","LH_2023_class1","LH_2023_class2","LH_2023_class3","LH_2024_class1","LH_2024_class2","LH_2024_class3","LH_2025_class1","LH_2025_class2","LH_2025_class3","OBC_2022_class1","OBC_2022_class2","OBC_2022_class3","OBC_2025_class1","OBC_2025_class2","OBC_2025_class3"
1,1.8788173334673,1.05511873986106,0.187771218619309,1,1655,54448,1918842.80367384,146303.6836811,143072.463006281,5017836.82865742,1486292.85803935,1435687.41958367,6234440.97534646,4594932.00954674,4517015.78258403,1,1,1770,152034.348999951,1042339.32519283,1066102.16628008
2,1.04674897873774,0.8734204417211,0.27871484317584,1,1655,54448,131432.886361536,81510.4421014362,79710.2261457947,235090.219748142,93034.4897369111,92652.5910009194,267374.38159983,129681.313545796,128315.968555045,1,1,1770,8617.9624805265,372239.482737091,376028.169980815
3,0.980486882291734,0.841217900754418,0.145795442012604,1,1655,54448,4406766.2480309,76350.6063761651,74664.3490540636,4863926.85385042,1676976.25148293,1610255.88830712,15943968.3225617,2408497.12821817,2374721.08937015,1,1,1770,300018.010386558,438270.830403376,437015.07764475
4,1.30710839210078,0.985571171238553,0.349538051954005,1,1655,54448,17213.3391815747,101784.654276053,99536.6679574508,37513.9566465545,69106.6147547235,71672.1439081232,27630.452449528,52524.9423078832,54180.6514970013,1,1,1770,2072.8212196512,516214.574933295,525185.188104743
5,1.65383199509233,0.816667710058391,0.342447780328803,1,1655,54448,17981.8464127233,128784.05407573,125939.766853109,48764.5367973037,104129.275884855,108506.96109798,42586.2999989518,94548.1640572768,97960.6306290323,1,1,1770,2493.86837950086,755983.439966702,775019.307271892
6,1.1930662968196,0.832836639322341,0.138908311049454,1,1655,54448,5164282.73136533,92904.1855167204,90852.3306524694,5290504.48095781,2390891.11530164,2295934.97409857,26471824.599472,3433110.72763921,3405530.26897521,1,1,1770,390227.3789907,602386.492124654,602615.037118361
7,1.51179463965818,0.782149271073286,0.210244216397405,1,1655,54448,789278.523157138,117723.591757135,115123.582693598,1908317.48079862,531862.699010246,517009.662978258,5889397.90508601,1388596.42663966,1363569.80108234,1,1,1770,59887.3186961841,682411.248031057,695567.232591762
8,1.96547831287608,1.26507472617086,0.224881996191107,1,1655,54448,861927.502347173,153051.982354456,149671.720714675,2618902.19217539,770895.678679446,751120.191128708,7170871.00933525,2506155.09615158,2463688.21574779,1,1,1770,68057.0888958657,1067250.89342187,1097090.64541825
9,1.98347315760329,0.751904266700149,0.154717855760828,1,1655,54448,3159752.46577047,154453.242617476,151042.033150418,7225217.97894239,2509511.35581497,2417615.25046216,17177080.8746244,7250035.14607868,7149929.18208681,1,1,1770,245547.818202568,1214572.19104513,1239978.78558625
10,0.910328794270754,0.943959474621806,0.241237225441728,1,1655,54448,410963.2712345,70887.3894180004,69321.7911192542,642746.516907788,174019.348537389,169417.254692196,1404590.23265936,280448.815932205,275238.647624476,1,1,1770,23594.1069716023,310921.659666697,312596.520887513
